task_id,task_name,refined_option1,refined_option2,refined_option3,refined_option4,refined_option5,answers
10,09629e4f,"To make the output, you have to...find the pattern with more than four colored blocks in the sequence. Use that sequence to fill the grid in the output. Ignore the gray areas.","To make the output, you have to...fill all the squares with colors except the four-color block pattern from the initial grid. Leave the gray squares as they are.","To make the output, you have to...identify the pattern with four or fewer colored blocks. Use the complementary colors of this pattern to fill the grid in the output. The gray squares remain as is.","To make the output, you have to...randomly color the squares in the output grid while ignoring the gray squares from the initial grid.","To make the output, you have to...find the pattern with exactly four colored squares in the sequence. Use that sequence to fill the grid in the output and keep the gray squares unchanged.",5
11,0962bcdd,"To make the output, you have to transform the plus sign into a square where the center is distinct from the surrounding squares.","To make the output, you have to extend the plus sign into a larger grid and then create a cross pattern within it, incorporating both the original and new colors in a specific 5x5 arrangement.","To make the output, you have to shrink the plus sign to a single center square and then place colored squares around it, forming a diagonally symmetric shape.","To make the output, you have to enlarge the plus sign and then remove its center square, leaving a hollow center.","To make the output, you have to replace the plus sign with diagonal lines radiating from the center, forming an X.",2
12,0a938d79,"To make the output, you have to create alternating large rectangles using two colors. Start with the first colored pixel and form a rectangle extending to the opposite corner, then repeat for the second colored pixel. Continue to the right or down the grid.","To make the output, you have to create horizontal lines using one color. Start from the first colored pixel and extend to the opposite side, repeating the steps without switching colors.","To make the output, you have to draw diagonal stripes in a single color. Begin at the first colored pixel and create a line extending diagonally to the opposite side, then repeat parallel diagonal lines.","To make the output, you have to form alternating short stripes with two colors. Start at the first colored pixel and extend a line to the opposite side, then repeat for the second colored pixel. Continue the stripe pattern to the right or downward.","To make the output, you have to make alternating circles using two colors. Begin at the first colored pixel and expand outward in a circular pattern, then repeat for the second colored pixel. Keep alternating to the right or downward.",4
13,0b148d64,"To make the output, you have to distinguish between four sections with unique patterns and identify the one section with a different color, then use only that section.","To make the output, you have to erase sections with contrasting colors and fill in sections with uniform colors.","To make the output, you have to rotate each section 90 degrees and randomly place them into the output grid.","To make the output, you have to find the section with the fewest colors and replicate it across the output grid.","To make the output, you have to copy all sections into the grid while reversing their colors.",1
14,0ca9ddb6,"To make the output, you have to...remove gray squares in the image. Where there's a red square, put black squares at its corners. Where there's a blue square, put black squares directly above and below it. Leave the light blue and pink squares unchanged.","To make the output, you have to...copy the existing image. Where there's a red square, add yellow squares at the corners. Where there's a blue square, put orange squares directly above and below it. Do not alter light blue or pink squares.","To make the output, you have to...shift the image significantly. Where there's a red square, put blue squares at the corners. Where there's a blue square, add green squares directly above and below it. Remove any light blue or pink squares.","To make the output, you have to...mirror the entire image. Where there's a red square, place black squares at its corners. Where there's a blue square, put yellow squares directly above and below it. Replace any light blue or pink squares with green ones.","To make the output, you have to...rotate the image. Where there's a red square, add black squares at its corners. Where there's a blue square, insert red squares directly above and below it. Turn light blue or pink squares into orange ones.",2
15,0d3d703e,"To make the output, you have to change the outer color edges rather than internal blocks. Transform gray to black, light blue to white, pink to green, red to blue.","To make the output, you have to invert each color with its direct opposite while keeping columns intact. Switch gray to white, light blue to dark blue, pink to green, red to blue.","To make the output, you have to alter the rows of the grid into specific colors. Change gray to green, light blue to black, pink to orange, red to yellow.","To make the output, you have to reorder the positions of the rows. Position gray at the top, light blue in the middle, pink at the bottom, keeping the color sequence consistent.","To make the output, you have to modify the color of grid columns to specific new colors. Change gray to blue, light blue to brown, pink to red, green to yellow.",5
16,0dfd9992,"To make the output, you have to invert all the color shades within each block to form a new pattern.","To make the output, you have to completely fill every black square to complete a new blank grid.","To make the output, you have to match the grid exactly by filling in all black blocks to complete the pattern.","To make the output, you have to remove every black box after completing the pattern and replicate the grid.","To make the output, you have to turn all the black squares into white squares once the pattern is drawn.",3
17,0e206a2e,"To make the output, you have to...fill every grid cell with a single color block.","To make the output, you have to...try to recreate the exact structure of the original object by filling the empty spaces between the color boxes.","To make the output, you have to...erase all color boxes and leave only the empty grid.","To make the output, you have to...leave all the spaces between color boxes completely blank.","To make the output, you have to...fill the empty spaces using a new color different from the original object.",2
18,10fcaaa3,"To make the output, you have to copy the input grid diagonally to create one half of the output. Then, add blue squares directly above and below each colored square forming a plus sign with the colored square in the middle. Finally, fill the remaining half of the output grid with yellow squares in the same pattern.","To make the output, you have to copy the input. Then, resize the output grid to be double the width and height. Then, copy the upper-left quadrant of your output grid (which is the same as the input grid) and paste it once in each quadrant of the output grid. You should have 4x as many colored squares in the output as in the input. Then, for each colored square in the output, do the following: add a light blue square 1 above and to the left, 1 above and to the right, 1 below and to the left, 1 below and to the right. Each light blue square should be diagonally touching the colored square, forming an X with the colored square in the center. Some of the X's might overlap or go off the screen. That is okay.","To make the output, you have to copy the input grid and mirror it vertically. Then, for each colored square in the output, add a yellow square 1 above and to the left, 1 above and to the right, 1 below and to the left, 1 below and to the right, forming an X on either side of the colored square.","To make the output, you have to copy the input. Then, resize the output grid to be half the width and height. Then, copy the upper-right quadrant of your output grid (which is the same as the input grid) and paste it in each lower quadrant of the output grid.","To make the output, you have to copy the input grid. Then, invert the colors in each square. Next, add a light blue square 1 above the bottom-left, 1 above the bottom-right, 1 below the top-left, 1 below the top-right. Form an X with the colored square at the corners.",2
19,11852cab,"To make the output, you have to complete the missing pattern by removing every color that repeats within the visible pattern.","To make the output, you have to fill every colored area with black and substitute any remaining black areas with the color that completes the formation.","To make the output, you have to complete the missing elements in the pattern by coloring each side with the absent color to finish the pattern.","To make the output, you have to ensure that no colors already present in the pattern are used and replace them all with black.","To make the output, you have to apply the color pattern within the grid and randomly add more colors to every side, making sure not to complete any visible pattern.",3
20,1190e5a7,"To make the output, you have to change the color of the grid squares to match the color of the input sections, and adjust the number and positions of the sections divided by lines horizontally and vertically according to the grid size.","To make the output, you have to change the color of the grid lines to a new color while leaving the sections unchanged, and then introduce new borders between each section.","To make the output, you have to keep the original color of the grid lines and add new colors based on the number of sections, without adjusting any of the positions.","To make the output, you have to adjust the number of sections by removing some horizontal and vertical lines, keeping the original grid colors as they are, without changing any positions or colors.","To make the output, you have to maintain the current section divisions and introduce diagonal lines of different colors, changing the shapes of the sections rather than altering the grid lines.",1
21,137eaa0f,"To make the output, you have to...change every light-colored element into a dark one and arrange them around the perimeter of the output grid.","To make the output, you have to...shift each segment so that the colored element in each segment occupies the top-left area of the final grid.","To make the output, you have to...invert each segment horizontally and place them in the corresponding position in the final grid.","To make the output, you have to...shift each segment so that the colored element in each segment occupies the central area of the final grid.","To make the output, you have to...remove the colored element from each segment and arrange the remaining parts in a straight line in the final grid.",4
22,150deff5,"To make the output, you have to replace the blue squares with yellow and the red squares with green.","To make the output, you have to use only yellow and pink colors to fill the pattern.","To make the output, you have to replicate the gray pattern using blue and red squares.","To make the output, you have to create alternating rows of gray and black squares.","To make the output, you have to fill the entire grid with orange squares, except for the central column.",3
23,178fcbfb,"To make the output, you have to erase any red squares. Then draw lines, right to left, for the green and blue squares. Avoid any red squares from before.","To make the output, you have to draw a vertical red line through any red squares. Then draw lines, left to right, for the green and blue squares. Go over any red squares from before.","To make the output, you have to draw a diagonal red line through any red squares. Then draw lines, left to right, for the yellow and blue squares. Skip any red squares from before.","To make the output, you have to draw a horizontal green line through any red squares. Then erase lines, left to right, for the green and blue squares. Avoid any red squares from before.","To make the output, you have to draw a vertical blue line through any red squares. Then draw lines, right to left, for the green and blue squares. Go under any red squares from before.",2
24,1a07d186,"To make the output, you have to remove the extra color that does not match and move the single squares away from the touching side.","To make the output, you have to keep the extra color that does not match the rest in place and move the single squares so they are touching diagonally instead.","To make the output, you have to remove the extra color that does not match the rest. Move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.","To make the output, you have to change the extra color to match the others and space the single squares evenly apart.","To make the output, you have to remove the color that does match the others and place it diagonally from the touching squares.",3
25,1b2d62fb,"To make the output, you have to change the entire background to black and watch the black space in both input patterns. Compare them, and color the similar black spaces with light blue.","To make the output, you have to change the entire background to red and compare the green spaces in both input patterns. Then, color the similar green spaces dark brown.","To make the output, you have to change the entire background to gray and observe the blue spaces in both input patterns. For any matching blue spaces, color them white.","To make the output, you have to change the entire background to white and replace the black squares with brown.","To make the output, you have to change the entire background to yellow and compare the yellow spaces in both inputs. Color the matching yellow spaces dark gray.",1
26,1b60fb0c,"To make the output, you have to draw with red color to follow the alignment of the blue tiles and create one structure with 4 identical zones.","To make the output, you have to remove the red color and keep the blue alignment with 4 unique zones.","To make the output, you have to fill in with blue to match the alignment of the red tiles and form a structure with 4 distinct segments.","To make the output, you have to place red color disregarding the alignment of the blue tiles and make two structures with matching zones.","To make the output, you have to remove the red color and disregard the alignment of the blue tiles to form an arbitrary design.",1
27,1bfc4729,"To make the output, you have to use the bottom color to fill the entire top row, the edges of the second row, and the entire third row. Then use the top color to fill the edges of the fifth row, the entire sixth row, and the edges of the seventh and eighth rows.","To make the output, you have to use the top color to fill the entire top row, the edges of the second and fourth rows, and the entire fifth row. Then use the bottom color to fill the edges of the sixth and seventh rows, the entire eighth row, the edges of the ninth row, and the entire bottom row.","To make the output, you have to use the top color to fill the first row, the edges of the second row, the entire third row, and the edges of the fourth and fifth rows. Then use the bottom color to fill the edges of the sixth and seventh rows, the entire eighth row, the edges of the ninth row, and the entire bottom row.","To make the output, you have to use the bottom color to fill the first row, the edges of the second row, the entire third row, and the edges of the fourth and fifth rows. Then use the top color to fill the edges of the sixth and seventh rows, the entire eighth row, the edges of the ninth row, and the entire bottom row.","To make the output, you have to use the top color to fill the entire top row, the edges of the sixth and seventh rows, the entire eighth row, the edges of the ninth row, and the entire bottom row. Then use the bottom color to fill the edges of the second and third rows and fill the entire fourth and fifth rows.",3
28,1c786137,"To make the output, you have to remove all colored patterns and only draw the borders in different colors.","To make the output, you have to change the color pattern inside the border to match the color of the border itself.","To make the output, you have to resize the grid to an arbitrary size and place each pattern in random positions.","To make the output, you have to copy the pattern's border color and switch it with the color of the pattern inside.","To make the output, you have to copy the color and position of the pattern inside the same colored rectangle border and resize the grid to match the size of the copied pattern.",5
29,1caeab9d,"To make the output, you have to move the blue shape to the left and position it next to the red and yellow shapes.","To make the output, you have to keep the yellow shape where it is, and move the red and blue shapes to the bottom left corner.","To make the output, you have to transform the blue shape into a green shape and position it above the yellow shape.","To make the output, you have to maintain the blue shape's position and align the red and yellow shapes at the same vertical level as the blue shape.","To make the output, you have to rotate the red and yellow shapes and place them below the blue shape.",4
30,1cf80156,"To make the output, you have to make sure the colors are adjusted to fit within the new grid exactly matching the positions. Original color scheme should be maintained.","To make the output, you have to make sure the colors are rotated 90 degrees within the new grid. Maintain the original color scheme.","To make the output, you have to make sure the grid is expanded to encompass the entire array of colors. Maintain the original colors.","To make the output, you have to make sure the colors remain only on the left-hand side of the new grid. Colors change naturally.","To make the output, you have to make sure the colors are mirrored horizontally within the new grid. The original colors remain unchanged.",1
31,1e0a9b12,"To make the output, you have to think of the grid as a space where colored squares can float. Once the support is turned off, all blocks rise to the top of the grid.","To make the output, you have to imagine the grid as a rotating field where colored blocks spin around. Each block rotates five times around a central point, producing the new grid.","To make the output, you have to think of the grid as a space where objects can fall. Gravity is enabled, causing all blocks to settle at the bottom of the grid.","To make the output, you have to visualize the grid as a flat surface where colored blocks shift. All colored blocks move horizontally to the right edge to produce the final grid.","To make the output, you have to consider the grid as a field where blocks are fixed. Each block moves downward until it meets another block before stopping, forming the new pattern.",3
32,1e32b0e9,"To make the output, you have to replicate the pattern within the top left grid across all sections of the larger grid using the matching block color.","To make the output, you have to mirror the design found in the top right section to the remaining sections of the grid, ensuring the colors match the boundary lines.","To make the output, you have to copy the pattern from the bottom left section to the entire grid, ensuring the blocks match the frame color.","To make the output, you have to rotate the design in the top left section by 90 degrees and apply this rotated pattern throughout the grid, using the boundary line color.","To make the output, you have to flip the pattern in the bottom right section horizontally and replicate this flipped design in the remaining sections, matching the frame color.",1
33,1f0c79e5,"To make the output, you have to...shrink the pattern in the direction opposite to a red square located on the grid. If multiple corners have a red square, compress all to the center by the square's width. The pattern should move down one and over one by two widths.","To make the output, you have to...reduce the size of the pattern opposite to the red square on the grid. For multiple red squares, reduce all to the center by the square's width. The pattern should move down one and left one by two widths.","To make the output, you have to...reduce the pattern in the direction of a red square on the grid. If multiple corners contain red, reduce all to the edge by the square's width. The pattern should move down one and over one by two widths.","To make the output, you have to...extend the pattern in the direction of a red square on the grid. If multiple corners contain red squares, extend all to the edge by the square's width. The pattern should move up one and over one by two widths.","To make the output, you have to...contract the pattern in the direction of a green square on the grid. For multiple green squares, extend all to the center by the square's width. The pattern should move down one and over one by two widths.",4
34,1f642eb9,"To make the output, you have to make additional colored squares inside the blue figure for each colored square along the outer edge. Place these colored squares on the innermost sides of the blue figure.","To make the output, you have to create extra light blue squares inside the colored figures, matching the positions of the light blue blocks in the grid. Arrange these colored squares on the innermost edge.","To make the output, you have to make one similarly colored square inside the blue figure for each colored square outside. Place these colored squares along the outer edge of the blue figure close to their corresponding blocks.","To make the output, you have to create light blue squares on the outer edge of each colored figure corresponding to their blocks. Position them on the innermost edge.","To make the output, you have to align each colored square parallel to the rows of their corresponding colored blocks within the blue figure. Position them on the second innermost edge.",3
35,1f85a75f,"To make the output, you have to replicate the pattern of dense smaller segments","To make the output, you have to focus on replicating smaller detailed clusters","To make the output, you have to exclude minor clustered sections","To make the output, you have to alter the compact clustered portions","To make the output, you have to enlarge the minor clustered elements",2
36,1f876c06,"To make the output, you have to connect colored blocks diagonally so that they form a continuous line of the same color.","To make the output, you have to replace pairs of same-colored blocks with blocks of different colors chosen arbitrarily.","To make the output, you have to link diagonally placed blocks of different colors to create a multi-colored line pattern.","To make the output, you have to separate the blocks of identical colors and redistribute them randomly on the grid.","To make the output, you have to connect any two blocks in a vertical line regardless of their color.",1
37,1fad071e,"To make the output, you have to fill single red piece horizontally for each 2x2 blue pattern present.","To make the output, you have to delete single blue piece vertically for each 2x2 blue pattern present.","To make the output, you have to add single blue piece horizontally for each 2x2 blue pattern present.","To make the output, you have to insert single blue piece randomly for each 3x3 blue pattern present.","To make the output, you have to erase single blue piece horizontally for each 2x2 blue pattern present.",3
38,2013d3e2,"To make the output, you have to use the leftmost 9 squares of the larger grid, even if the first block in the larger grid is black.","To make the output, you have to ignore the leftmost 9 squares of the grid, even if the first block in the grid is black.","To make the output, you have to take the rightmost 9 squares of the grid, even if the first block in the grid is black.","To make the output, you have to use the leftmost 9 squares of the smaller grid, even if the first block in the smaller grid is black.","To make the output, you have to exclude the leftmost 9 squares of the grid, even if the first block in the grid is black.",1
39,2204b7a8,"To make the output, you have to copy the input grid but invert the colors of the border pixels and the center pixels.","To make the output, you have to copy the input grid. Replace each pixel in the black area with a specified color from the available color palette.","To make the output, you have to copy the input grid, changing the color of each pixel in the black area to the color of the border line that each pixel is farthest from.","To make the output, you have to copy the input grid, changing the color of each pixel in the black area to the color of the border line that each pixel is closest to.","To make the output, you have to copy the input grid and ensure each pixel in the black area changes to a contrasting color to the border line that each pixel is closest to.",4
40,22168020,"To make the output, you have to fill in the spaces above the four-square base until you reach the top of the colored area.","To make the output, you have to add color to the area below the four-square base until you reach the bottom of the grid.","To make the output, you have to remove the portions above the four-square base all the way down to the bottom of the grid.","To make the output, you have to clear out the spaces below the four-square base, extending to the bottom of the grid.","To make the output, you have to erase the sections above the four-square base until you reach the top of the colored area.",1
41,22233c11,"To make the output, you have to place a light blue tile adjacent to each green tile, creating a pattern where only the corners touch.","To make the output, you have to place a yellow tile two steps away from the green tiles horizontally, forming a shape that resembles the letter H.","To make the output, you have to place a red tile in direct contact with each side of the light blue tiles, forming a V shape.","To make the output, you have to place a green tile diagonally adjacent to the light blue tiles, skipping one black tile, forming an X shape with skipped initial tiles.","To make the output, you have to place an orange tile directly above each green tile, skipping a black tile in between to create a vertical arrangement.",1
42,2281f1f4,"To make the output, you have to use the black squares to position yellow squares. Draw imaginary lines around the gray pixels and fill yellow color where the lines do not intersect.","To make the output, you have to use the gray squares and draw a blue rectangle around each gray square.","To make the output, you have to use the gray squares and color the pixels below and along the horizontal lines with black.","To make the output, you have to use the gray squares to position red squares. Draw imaginary vertical lines above the grid and horizontal lines on the right side. Fill in the intersections with red.","To make the output, you have to use the red squares to draw gray rectangles. Draw rectangles over the red pixels and erase the pixels where they intersect.",4
43,228f6490,"To make the output, you have to take a colored piece to place in the space for each grey box It will only take one piece per box.","To make the output, you have to add various colored pieces to each grey box It will take more than one piece per box.","To make the output, you have to take a grey piece to fill the space for each colored box It will only take one piece per box.","To make the output, you have to remove a colored piece from each grey box It will only take one piece per space.","To make the output, you have to leave a colored space for each grey piece It will take multiple pieces per box.",1
44,22eb0ac0,"To make the output, you have to copy the input. If two blocks diagonally across from each other are the same color, fill in the rest of the grid diagonally with that color. Don't do anything with blocks diagonally across from each other that are different colors.","To make the output, you have to copy the input. If two blocks across from each other are the same color, fill in the rest of the row with that color. Don't do anything with blocks across from each other that are different colors.","To make the output, you have to copy the input. If a block at the top is the same color as one at the bottom, fill in the column with that color. Don't do anything with blocks that are different colors.","To make the output, you have to copy the input. If two blocks in the same row are the same color, fill in the column with that color. Don't do anything with blocks that are different colors.","To make the output, you have to copy the input. If two blocks across from each other are different colors, fill in the rest of the row with a new color. Don't do anything with blocks across from each other that are the same color.",2
45,234bbc79,"To make the output, you have to make any black boxes the same color as the blocks to which it is disconnected Add columns of blue boxes Separate the top and bottom shapes so that the former grey squares are disconnected","To make the output, you have to make any blue boxes the same color as the blocks to which it is connected Add rows of green boxes Separate the middle and right shapes so that the former grey squares are disconnected","To make the output, you have to make any grey boxes the same color as the blocks to which it is connected Remove columns of black boxes Align the middle and right shapes so that the former grey squares are connected","To make the output, you have to make any red boxes a different color as the blocks to which it is connected Add columns of black boxes Align the left and right shapes so that the former grey squares are connected","To make the output, you have to make any grey boxes a different color as the blocks to which it is connected Remove rows of yellow boxes Align the top and bottom shapes so that the former grey squares are disconnected",3
46,23581191,"To make the output, you have to shift the colored squares out of the grid, leaving a black square where the lines disappear.","To make the output, you have to extend the colored squares left, right, up, and down across the board to form intersecting lines, with a red square appearing where they intersect.","To make the output, you have to shrink the colored squares horizontally and vertically until they disappear, leaving a blue square where the lines intersect.","To make the output, you have to move the colored squares diagonally across the board without forming lines, with a yellow square where the lines do not intersect.","To make the output, you have to randomly scatter the colored squares across the board without forming lines, ensuring a green square where the lines avoid each other.",2
47,239be575,"To make the output, you have to make the color of the square a different color than the square adjacent to the input.","To make the output, you have to make the color of the square the same color as the square located one up and two to the left of the input.","To make the output, you have to make the color of the square the same color as the square five down and three to the right of the input.","To make the output, you have to make the color of the square a different color than the square located five down and three to the right of the input.","To make the output, you have to make the color of the square the same as the square at the top left corner of the input.",3
48,23b5c85d,"To make the output, you have to change the colored object to a different shape in the small inner grid pattern.","To make the output, you have to erase the colored object in the small inner grid pattern.","To make the output, you have to randomize the colors in the small inner grid pattern.","To make the output, you have to copy the exact colored object in the small inner grid pattern.","To make the output, you have to move the colored object to the outer grid pattern.",4
49,253bf280,"To make the output, you have to clarify green segments connecting blue squares lying together on the grid.","To make the output, you have to draw green lines connecting light blue squares that are aligned horizontally.","To make the output, you have to link with green segments the red squares that share the same grid line.","To make the output, you have to link yellow lines to connect light blue squares lying together horizontally.","To make the output, you have to remove green lines connecting light blue squares inside the rectangle.",2
50,25d487eb,"To make the output, you have to...take the smaller square and move it out the top.","To make the output, you have to...take the smaller square and pull it towards the top.","To make the output, you have to...move the smallest square elsewhere.","To make the output, you have to...take the smallest square and place it at the bottom.","To make the output, you have to...take the larger square and put it at the top.",1
51,25d8a9c8,"To make the output, you have to fill the column with black if the column contains identical colors. Fill it with gray if the column contains different colors.","To make the output, you have to fill the column with black if the column is empty. Fill it with gray if the column contains identical colors.","To make the output, you have to fill the row with black if the row has the same colors in the input. Color the row with gray if the row contains different colors.","To make the output, you have to color the column with gray if the column contains different colors. Fill it with black if the column contains identical colors.","To make the output, you have to leave the column empty if the column is colored. Fill it with black if the column contains no colors.",1
52,25ff71a9,"To make the output, you have to change the position of all the colored squares to move the blue ones upward.","To make the output, you have to shift every color block outside the boundary of the grid.","To make the output, you have to move every colored pixel left by one grid position.","To make the output, you have to move all colored blocks downward by one grid.","To make the output, you have to transfer each color block to the right by one square.",4
53,264363fd,"To make the output, you have to copy the shape located inside the boxes. Take note of the central square in the shape inside the box. Arrange the shape in the box, centered over the empty squares of contrasting colors. Identify the circles extending one space outward from the center of the shape. Extend the lines of matching color from these squares until they meet the shape's edges. Apply this process to all boxes with differently colored central squares within.","To make the output, you have to copy the shape you see outside of the boxes. Don't take note of the central square of the shape outside the box. Arrange the shape in the box, centered over the squares of matching color. Identify the squares extending outward from the center position. Use the same color as these squares to extend their lines until they meet the sides of the background area. Apply this process to all boxes with similar-colored squares inside.","To make the output, you have to copy the shape you see below the boxes. Take note of the edge square of the shape below the box. Place the shape outside the box, positioned below the differently colored squares. Identify the circles extending two spaces outward from the center of the shape. Use a different color as these squares and continue their lines until they do not meet the box's edges. Repeat this process for all boxes with differently colored squares inside.","To make the output, you have to copy the shape you see outside of the boxes. Notice the central square of the shape outside the box. Position the shape within the box, centered over the single squares of differing colors. Identify the squares extending two spaces outward from the shape's center. Using the matching color, extend the lines from these squares until they touch the sides of the colored box without entering the background. Apply this to all boxes with differently colored central squares.","To make the output, you have to erase the shape you see outside of the boxes. Notice the central square of the shape outside the box. Position the shape adjacent to the box, away from the single squares of differing colors. Identify the squares extending one space outward from the shape's center. Using a different color from these squares, extend their lines until they meet the box's sides. Apply this to all boxes with similarly colored central squares.",4
