task_id,task_name,description_input,description_output
10,09629e4f,"In the input, you should see...a grid with 9 3x3 smaller squares with various color block patterns. The smaller squares are divided by gray line","To make the output, you have to...find the square that has only four color blocks in the pattern. Use that pattern to fill the blocks in the output. The gray areas stay the same."
11,0962bcdd,"In the input, you should see...two crosses with one color in the center of cross and another color around center of cross.","To make the output, you have to...extend the plus sign one square in every direction and then make a 5x5 'X' of the center color through the center square. You should result in nine squares the color of the center and eight the color of the original plus sign."
12,0a938d79,"In the input, you should see...two pixels of different colors on the upper or lower rim, or on the right or left rim.","To make the output, you have to...create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the right direction for a long grid or go down for a tall grid all the way to the end."
13,0b148d64,"In the input, you should see...a rectangular pattern in each corner, one a different color than the others.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid."
14,0ca9ddb6,"In the input, you should see...some colored single pixels.","To make the output, you have to...copy image exactly. Where there's a red square, put yellow squares at it's corners (4 total). Where there's a blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or pink squares."
15,0d3d703e,"In the input, you should see...a 3x3 grid with three different colored columns.","To make the output, you have to...change the color of the grid column into specific color. grey to blue, light blue to brown, pink to red, green to yellow and vice versa."
16,0dfd9992,"In the input, you should see...a repeating tile pattern.","To make the output, you have to...copy input grid exactly. Fill in all black boxes to draw establish pattern."
17,0e206a2e,"In the input, you should see...a fully colored object and unfulfilled 3 color boxes with black backround.","To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given."
18,10fcaaa3,"In the input, you should see...a  few colored squares on a black background.","To make the output, you have to...copy the input. Then, resize the output grid to be double the width and height. Then, copy the upper-left quadrant of your output grid (which is the same as the input grid) and paste it once in each quadrant of the output grid. You should have 4x as many colored squares in the output as in the input. Then, for each colored square in the output, do the following: add a light blue square 1 above and to the left, 1 above and to the right, 1 below and to the left, 1 below and to the right. Each light blue square should be diagonally touching the colored square, forming an X with the colored square in the center. Some of the X's might overlap or go off the screen. That is okay."
19,11852cab,"In the input, you should see...radial shapes with some colors that is not completed.","To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern."
20,1190e5a7,"In the input, you should see...a colored grid with vertical and horizontal lines.","To make the output, you have to...change the color of the grid to the color of the input grid not the lines. You need to adjust the number and positions of sections divided by lines of different colors horizontally and vertically according to the grid size."
21,137eaa0f,"In the input, you should see...several color patterns that each contain a single gray square.","To make the output, you have to...move each pattern so that the gray square in each pattern occupies the center square of the output 3x3 grid."
22,150deff5,"In the input, you should see...several objects with gray pixels and some other color pixels.","To make the output, you have to...fill in pattern completely with blue and red, to form 2x2 blue pattern and 1x3 red patterns."
23,178fcbfb,"In the input, you should see...a grid with red, blue, and green squares.","To make the output, you have to...draw a vertical red line through any red squares. Then draw lines, left to right, for the green and blue squares. Go over any red squares from before."
24,1a07d186,"In the input, you should see...horizontal or vertical lines, and some colored single pixels.","To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on."
25,1b2d62fb,"In the input, you should see...two brown pattern with same grid size and a blue line in the middle.","To make the output, you have to...change the entire background in black and you have to watch the black space in both input pattern compare them now color the similar black space with light blue color."
26,1b60fb0c,"In the input, you should see...one object with the same blue pattern repeated in three directions; above, to the right, and below.","To make the output, you have to...draw with red color to follow the pattern of the blue section and make one figure with 4 sections that look the same."
27,1bfc4729,"In the input, you should see...10x10 grid with only two pixels filled with different colors.","To make the output, you have to...use the top color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the first and last blocks of the 4th and 5th rows. Then use the bottom color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row."
28,1c786137,"In the input, you should see...a complex color pattern with a distinctive rectangle of a single color.","To make the output, you have to...copy the color and position of pattern inside of the same colored rectangle border. And resize the grid to match the size of the copied pattern."
29,1caeab9d,"In the input, you should see...3 objects with the same shapes of blue, red, and yellow colors.","To make the output, you have to...keep the blue shape where it is, and move the red and yellow shapes up or down so that they are at the same level as the blue-colored shape."
30,1cf80156,"In the input, you should see...one object with one color on a black grid.","To make the output, you have to...make sure the colored image is exactly fit (top, bottom, left, right) in the new rectangular grid. No color change."
31,1e0a9b12,"In the input, you should see...several various color of pixels that are aligned vertically for the same color.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid."
32,1e32b0e9,"In the input, you should see...9 spaces splited by vertical, horizontal lines and, inside of these 9 spaces, you should see pixels of the same color.","To make the output, you have to...replicate what is inside of the top left 5x5 grid throughout the rest of the 8 grid left. The color of these additional blocks should match the color of the block cut line."
33,1f0c79e5,"In the input, you should see...a 2x2 square pattern with at least one red color square.","To make the output, you have to...extend the pattern in the direction that the red square is located on the square. If more than one corner has a red square, extend all corners to the edge by the width of the square. Pattern should go up one and over one by a width of two."
34,1f642eb9,"In the input, you should see...a light blue rectangle, with colored single pixels scattered around the outside of the figure.","To make the output, you have to...make one similiarly colored squar inside the light blue figure for each colored square around the exterior. Place the colored squares along the most outer edge of the blue figure, closest to their corresponding block."
35,1f85a75f,"In the input, you should see...a dense color block inside the big noisy back ground.","To make the output, you have to...copy the small dense part."
36,1f876c06,"In the input, you should see...various color pairs of pixels located on the diagonal line.","To make the output, you have to...connect the two same colored blocks in a diagonal to create a same colored line."
37,1fad071e,"In the input, you should see...multiple 2x2 blue grids and other colors on black background","To make the output, you have to...fill single blue grid from the left for every 2x2 blue grids available."
38,2013d3e2,"In the input, you should see...a large pattern on a black background. ","To make the output, you have to...use the left most 9 squares of the large pattern, even if the first square in the large pattern is black."
39,2204b7a8,"In the input, you should see...a black field with two border lines of different colors. There are pixels of the same color scattered between the two borders.","To make the output, you have to...copy the input grid. change the color of each pixel in the black field to the color of the border line that each pixel is closest to."
40,22168020,"In the input, you should see...colored objects with a 2x2 square shape and lines drawn diagonally in both directions above it.","To make the output, you have to...fill in the area above the four square base until you get to the top of the colored area."
41,22233c11,"In the input, you should see...set(s) of diagonal green tiles","To make the output, you have to...place a light blue tile diagonally on each side of the green tiles, skipping one black tile. Imagine an X shape is being created, except the light blue tiles skip the first diagonal tile (leaving it black) to create one light blue tile on each side."
42,2281f1f4,"In the input, you should see...several gray pixels located on the upper and right sides.","To make the output, you have to...use the grey squares as reference to make red squares. Draw imaginary vertical lines for the gray pixels above the grid and imaginary horizontal lines for the gray pixels on the right. Fill in the pixels where these lines intersect with red color."
43,228f6490,"In the input, you should see...grey rectangles with a black random shape in them. And outside of the grey ractangles, some colored blocks will fit in a black random shape in grey rectangles, and some will not.","To make the output, you have to...take a colored shape to fill in the hole for each grey square. It will only take one shape per square."
44,22eb0ac0,"In the input, you should see...several single pixels on both sides which are arranged with one space in between them. The pixels on both sides are facing each other horizontally.","To make the output, you have to...copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors."
45,234bbc79,"In the input, you should see...several shapes all of which have a main color with some grey pixel in 3x11,.","To make the output, you have to...make any grey boxes the same color as the blocks to which it is connected. Remove columns of black boxes. Align the middle and right shapes so that the former grey squares are connected."
46,23581191,"In the input, you should see...two colored pixels that are separated.","To make the output, you have to...extend both colored squares left and right, and up and down across the board to form two lines. The square should be red where the lines intersect."
47,239be575,"In the input, you should see...several blue pixles and two 2x2 red squares on the black background.","To make the output, you have to...make the color of the square the same color as the square that is five down and three across of the input."
48,23b5c85d,"In the input, you should see...several rectangles with different colors and sizes, and in some cases, they may be overlapping.","To make the output, you have to...copy the exact colored object in the small inner grid pattern."
49,253bf280,"In the input, you should see...light blue dots.","To make the output, you have to...use green lines to connect light blue dots that are in the same line."
50,25d487eb,"In the input, you should see...a single pattern in the shape of a triangle, and there is one pixel of a different color in the middle of the base of the triangle.","To make the output, you have to...take the smaller color and shoot it out the top."
51,25d8a9c8,"In the input, you should see...colored pattern in the 3x3 grids.","To make the output, you have to...fill the row with grey if the row has the same colors in the input. Color the row with black if the row contain different colors."
52,25ff71a9,"In the input, you should see...3 by 3 grid blue color grid on black background.","To make the output, you have to...move all the color move down by one grid."
53,264363fd,"In the input, you should see...30x30 grid with colored background and several rectangles with some pixels of different color, and one pattern outside of objects.","To make the output, you have to...copy the shape you see outside of the boxes. Take note of the center square of the shape outside the box. Position the shape in the box, centered over the the single squares in the boxes that are a different color. Next, take note of the squares that extend two spaces out from the center of the shape. Now, using the same color as these squares, continue their lines until they touch the sides of the colored box. Don't go into the background color. Repeat these steps for all boxes with a different colored square inside."
54,272f95fa,"In the input, you should see...2 vertical lines and 2 horizontal lines with skyblue color.","To make the output, you have to...fill the areas seperated by 4 lines. Center area should be filled with mageta, and top area with red, the left with yellow, the right with green, and the bottom with blue, relative to the center area."
55,27a28665,"In the input, you should see...four different types of patterns on a 3x3 grid, each consisting of one color and five pixels.","To make the output, you have to...consider the pattern of the colored boxes. Where the colored boxes form a cross, the output color should be pink. Where there are three colored boxes at the top left corner the output color should be blue. Where there are four colored boxes at the top right the output color should be green. Where the colored boxes are at the middle of each of the first and third column and in the middle column the colored boxes are at the top and bottom, the output color should be red."
56,28bf18c6,"In the input, you should see...a structure of colored blocks in a random shape.","To make the output, you have to...copy the same pattern into two times in a row."
57,28e73c20,"In the input, you should see...different size of black grids.","To make the output, you have to...create a green pattern. Start in the upper left and go right. Hit the corner and go down. Continue in clockwise order. When you hit green, stop one blocks away and continue in the pattern. End in the center."
58,29623171,"In the input, you should see...0, 1, or 2 colored pixels within each section of a 3x3 black grid divided by horizontal and vertical gray lines.","To make the output, you have to...find the black box or boxes with the highest number of colored blocks in the input grid. The corresponding box or boxes in the output grid should be colored entirely that color. The rest of the boxes should be all black."
59,29c11459,"In the input, you should see...two pixels of different colors, horizontally aligned and positioned on the left and right sides.","To make the output, you have to...move blue to the right to make 5 blue. move red to left to make 5 red. present with color square."
60,29ec7d0e,"In the input, you should see...a pattern where identical shapes are repeated and erased by multiple black rectangles.","To make the output, you have to...replace the black squares with the correct corresponding colors, using the blocks without black areas as reference."
61,2bcee788,"In the input, you should see...black grid with two colored shapes connecting to each other in middle.","To make the output, you have to...take the shape with more blocks and copy it exactly onto the output grid in the same color, then reflect it in the direction of the smaller shape. So, you have an exact reflection of the larger shape. Color the rest of the background light green."
62,2bee17df,"In the input, you should see...the boundary of the grid filled with continuous light blue or red pixels, while the central part is empty with a black background.","To make the output, you have to...copy the input grid into the output. Around the outside of the grid, you will notice some squares are only one square deep around. Take note of these squares. Using green, draw straight lines horizontally and vertically from these squares that are only one deep around the outside, connecting them only to squares on the other side of the grid that also are only one square deep."
63,2c608aff,"In the input, you should see...a pattern with a central square and colored dots.","To make the output, you have to...connect it with the same color as the dot if the dots could connect to the central square with a straight line."
64,2dc579da,"In the input, you should see...a grid broken up into 4 sections by a cross, where 1 section has an off-color single pixel in it.","To make the output, you have to...select the quadrant with the different colored square, then copy and paste the quadrant as the output."
65,2dd70a9a,"In the input, you should see...skyblue colored area and one red colored area and one green colored area.","To make the output, you have to...start at the green colored area, draw a line to red area. When the green line meet skyblue area, turn left or right toward red area."
66,2dee498d,"In the input, you should see...a repeating pattern. (usually repeats three times)","To make the output, you have to...fill the grid up with the singular identified pattern."
67,31aa019c,"In the input, you should see...a large grid with many colored pixels.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color."
68,321b1fc6,"In the input, you should see...a black grid with patterns placed thought it. One will be multi-colored, and the others will be a solid color.","To make the output, you have to...replace the solid colored patterns with the multi-colored versions, so each pattern has the same coloring. Then remove the original multi-colored pattern by replacing it entirely with black tiles."
69,32597951,"In the input, you should see...blue pixels and light blue pixels. And you can make rectangle composed with light blue pixels and blue pixels.","To make the output, you have to...replace the blue squares with green squares to complete a square of a rectangle with the light blue blocks."
70,3345333e,"In the input, you should see...a single color pattern with unnecessary square box in the middle or touch in the single color pattern.","To make the output, you have to...remove the unnecessary pattern box in the single color pattern."
71,3428a4f5,"In the input, you should see...two red patterns on top and bottom. They are divided by a yellow line on the middle of the grid.","To make the output, you have to...overlap the two patterns, if the colors are the same then it is colored black. if they are different then they are colored in a different color."
72,3618c87e,"In the input, you should see...a gray baseline at the bottom, and above it. There may or may not be gray pixels. If there are gray pixels, you can see single blue pixel above them.","To make the output, you have to...take the blue dots and place them two squares down, with the background still fully black."
73,3631a71a,"In the input, you should see...a large grid with a multicolored pattern. Notice that the pattern is mirrored horizontally and vertically. But some parts are covered by brown rectangles.","To make the output, you have to...copy the input grid to the output grid. You will see boxes where the pattern is missing. In these boxes, mirror the pattern from the opposite side of the grid, exactly. Use the same colors."
74,363442ee,"In the input, you should see...a 3x3 color pattern on the left side of vertical gray line and blue pixels on the right side of vertical gray line.","To make the output, you have to...use the blue square as the middle square and recreate the same pattern replacing the blue square with the same color in the middle as the pattern."
75,36d67576,"In the input, you should see...yellow patterns with a single red square on each and one yellow shape with blue and green squares.","To make the output, you have to...repeat pattern shown on single yellow pattern onto others."
76,36fdfd69,"In the input, you should see...a random pattern in one color and several dense red pixels.","To make the output, you have to...assume the red grid as a rectangle or square , now complete the structure by change the overlap color into yellow, leave all others grid same as input."
77,3906de3d,"In the input, you should see...black grid with blue color vertical lines at the top side and red color vertical lines at the bottom side.","To make the output, you have to...imagine the blue is a vacuum and sucks the red up into the open spaces. Move all red straight up."
78,39a8645d,"In the input, you should see...a few different kinds of 3x3 shape. Each kind should have a unique shape and color. There may be multiple copies of each kind.","To make the output, you have to...count the number of copies of each shape. Zoom in on the shape with the most copies."
79,39e1d7f9,"In the input, you should see...multiple sections divided by several vertical and horizontal lines. Some sections are filled with one color. Patterns consisting of a center and surrounding sections appear, and there are several more sections where only the central part repeats.","To make the output, you have to...copy the input grid, replicate the main pixel placement within the grid and replicate half at the top right corner."
80,3aa6fb7a,"In the input, you should see...several 2x2 objects with one pixel of them is black.","To make the output, you have to...fill in the missing corners with a blue square."
81,3ac3eb23,"In the input, you should see...some colored pixels the top of the grid and the rest are blank.","To make the output, you have to...take it as 3 column for each square and fill as a chess board pattern."
82,3af2c5a8,"In the input, you should see...3x4 grid with one color pattern.","To make the output, you have to...imagine grid is cut in half vertical. Copy pattern to top and below left half. Mirror pattern to right half of grid to top and below."
83,3bd67248,"In the input, you should see...black background with a colored vertical line to the left side.","To make the output, you have to...make a yellow line perpendicular to the line located at the left half and then you draw a diagonal red line starting at the intersecting between both lines."
84,3bdb4ada,"In the input, you should see...two large rectangle shapes with different colors.","To make the output, you have to...put black squares in the middle of the rectangle shapes so that the pattern is colored square, black square, colored square, black square and so on in the middle of each rectangle."
85,3befdf3e,"In the input, you should see...a square with one color and filled with another color.","To make the output, you have to...copy the original input and paste it in the output. Then inverse the colors, then add the amount of squares that filled the input square to each side, inverse the color. Do not worry about the corners."
86,3c9b0459,"In the input, you should see...pattern with random colors in a grid.","To make the output, you have to...rotate the grid 180 degrees clockwise. That's it. Just fill in the grid with the original colors as if the grid rotated twice to the right (180 degrees)."
87,3de23699,"In the input, you should see...four colored pixels that look like the corners of a box. Within this box is a shape colored with a different color. The background is black.","To make the output, you have to...change the color of the colored shape to the color of the four corner squares."
88,3e980e27,"In the input, you should see...a few red and green pixels. One green pixel and one red pixel will have other color pixels around them.","To make the output, you have to...copy the placement and color of the pixels surrounding the red or green pixels that are not alone to the pixels that are alone. If the pixel is green the placement and color of the surrounding pixels should be the same as the surrounded green pixel. This should be applied to all solo green pixels. The same should be done with the red pixels, but the placement of the surrounding pixels should be mirrored horizontally."
89,3eda0437,"In the input, you should see...a grid with black, blue, and gray squares.","To make the output, you have to...examine the grid, find the black squares that will allow for a symmetrical shape of either a square or rectangle, and color those squares pink."
90,3f7978a0,"In the input, you should see...scattered skyblue pixels and two gray parellel lines. each line is between skyblue pixels.","To make the output, you have to...make new grid between two gray lines and adjacent light blue pixels. "
91,40853293,"In the input, you should see...pixels of different colors that are separated. And pixels of the same color are aligned vertically or horizontally.","To make the output, you have to...connect similar colors with that color. where they overlap you should use the vertical color."
92,4093f84a,"In the input, you should see...thick gray lines dividing the sections into top, bottom or left, right. And pixels of a single color, spaced apart, are randomly positioned in each section.","To make the output, you have to...copy the gray itself. Imagine the non-gray boxes are attracted to the gray columns/row like magnets. so change the non-gray boxes to gray and remove the difference between so that each now gray box is touching the central row."
93,41e4d17e,"In the input, you should see...a light blue background with blue square borders.","To make the output, you have to...find the center of each square and add a magenta pixel to its center. From that magenta pixel draw a line from each side of it (up, down, left, right) going straight to the border of the entire grid. Each magenta line must reach the border of the square. The magenta lines are allowed to cross over each other."
94,4258a5f9,"In the input, you should see...a black grid with a number of single grey pixels.","To make the output, you have to...surround each of the grey boxes with a blue border."
95,4290ef0e,"In the input, you should see...various outlines of different size and color.","To make the output, you have to...place the outlines inside each other so the big one contain all others within it, leave the background the same color."
96,42a50994,"In the input, you should see...a grid with colored pixels scattered. Some of the pixels are touching other pixels {on sides/or corners} while some are singletons, not touching any pixels.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black."
97,4347f46a,"In the input, you should see...colored rectangular shapes on a black background.","To make the output, you have to...replace all colored blocks inside the rectangular shapes with black so there is only a colored outline of the shapes."
98,444801d8,"In the input, you should see...a pixel of a different color at the center of the blue rectangle with one pixel missing in the top middle.","To make the output, you have to...fill the inside of the blue square border with a single colored pixel. Then, you also fill the pixels where the blue square border is open, and draw a single line on top of the border's upper edge."
99,445eab21,"In the input, you should see...consecutive frames of different colored squares.","To make the output, you have to...fill the entire 2x2 grid with the same color of the biggest square pattern that is in the original."
100,447fd412,"In the input, you should see...a completed object pattern consisting of red and blue colors. Additionally, there is a shape made up of only red color without blue.","To make the output, you have to...copy the input grid, then copy the pattern based on the red part of the completed object. However, all the positions of the existing red pixels must remain fixed. Also, if the size has increased, increase the size of the pattern proportionally."
101,44d8ac46,"In the input, you should see...gray rectangles with the black area inside.","To make the output, you have to...fill the black area within the gray with red if it is a square; otherwise, leave it alone."
102,44f52bb0,"In the input, you should see...a 3x3 grid with red pixels on black background. There colors are the same for each input grid but the site of the colors are different.","To make the output, you have to...fill in the pixels with blue if the input is symmetrical, and with orange if it is not."
103,4522001f,"In the input, you should see...a 3x3 grid with a 2x2 green square in one corner with a red pixel.","To make the output, you have to...make grid 9x9. Note the diagonal that the red square is in in the input. The green square in the diagonal will indicate which corner in the output you should put a 4x4 green square in the output. The red square indicates which corner another 4x4 green square will touch it your new square in the output grid. So you will have two green 4x4 squares touching each other corner to corner."
104,4612dd53,"In the input, you should see...a blue pattern on a black background. This pattern represents a rectangle (or two rectangles sharing a side), but is missing some blue that would form the sides of the rectangle(s).","To make the output, you have to...reconnect the sides of the rectangle(s). Use red to fill in the missing pieces of the sides in a straight line, rebuilding the rectangle(s). You should end up with one or two rectangles."
105,46442a0e,"In the input, you should see...a grid with colored pixels.","To make the output, you have to...create a grid twice the size of the input. Divide the output grid into 4 quadrants. Replicate the input grid pixels in the upper right quad. In the upper left quad, place the input grid that's been rotated clockwise 90 degrees. In the lower right quad, place the input grid colored pixels that has been rotated 180 degrees. In the lower left quad place a copy of the input grid that's been rotated 90 degrees counter-clockwise."
106,469497ad,"In the input, you should see...a 5x5 grid with a row of colored blocks on the bottom and on the right. There is also a group of 4 same-colored blocks separate from the colored edges.","To make the output, you have to...recreate the input pattern in the larger output grid. For the border, the number of colors on the grid determines how many rows. So, a grid with 4 colors would have 4 rows on the bottom and 4 on the right, For the separate colored block multiply the number of colors by 2 in order to determine its size. So, a grid with 4 colors would mean the block would be 8x8. Finally, make a row of red squares extending from each corner of the separate block and ending at either the colored border or the edge of the grid."
107,46f33fce,"In the input, you should see...multiple colors on the black background.","To make the output, you have to...expand colored 1x1 pixels to a 2x2 size. In this process, the size should increase in the top-left direction, meaning the pixels in the upward, leftward, and upper-left diagonal directions of the colored pixel should be filled to create a 2x2 cube. Afterward, while doubling the entire grid size, the enlarged colored pixels should also be transformed into 4x4 pixels. It is essential to maintain the same positions for the 4x4 pixels as the previous ones."
108,47c1f68c,"In the input, you should see...a colored cross that divides the grid eqaully into 4 smaller sections. In the top left smaller grid you should see a shape with different color.","To make the output, you have to...copy the reflection of the object located in the top-left corner to the remaining portions based on the vertical and horizontal lines dividing the grid into four quadrants. Then, remove the dividing vertical and horizontal lines and concatenate the quartered images."
109,484b58aa,"In the input, you should see...a colored grid with a repeating pattern with some black spots that cover some parts of repeating pattern.","To make the output, you have to...fill in the black spots with the continued pattern that is in the rest of the input so it looks like there is a uniform pattern on the whole grid."
110,48d8fb45,"In the input, you should see...a 10x10 grid with differently colored shapes. One of those shapes includes a grey pixel.","To make the output, you have to...repeat the colored area that includes a gray square, but do not include the gray square."
111,4938f0c2,"In the input, you should see...a 2x2 green cube consisting of four green pixels in the middle, surrounded by red pixel patterns on a black tile background.","To make the output, you have to...use the same red pattern to create a symmetrical pattern surrounding the green cube."
112,496994bd,"In the input, you should see...a pattern of two colors on the top of the grid.","To make the output, you have to...copy the input grid and then mirror the colored lines on the other end of the grid."
113,49d1d64f,"In the input, you should see...random color and random pattern of the grid.","To make the output, you have to...expand the pixels at the corners of the grid to a 2x2 size. For pixels along the left and right edges of the grid, which are not at the corners, expand them to 1x2. Conversely, for pixels along the top and bottom edges of the grid, which are not at the corners, expand them to 2x1. If a pixel is neither at the corner nor along the grid edges, leave it as a 1x1 pixel. After all the expansions, color the corners of the newly created grid in black."
114,4be741c5,"In the input, you should see...areas of 3 or 4 colors.","To make the output, you have to...identify the color palette of the input grid image. Take the colors of the distinct boundaries in the input grid's image. If the input image is horizontal, the output grid should also be composed of horizontal single pixels, and vice versa."
115,4c4377d9,"In the input, you should see...grid of 3x4 with 2 colors.","To make the output, you have to...append the input grid flipped vertically above it."
116,4c5c2cf0,"In the input, you should see...a colored x shape with another colored shape at one of its corners.","To make the output, you have to...mirror the shape at the corner of the x to the other corners of the x so that the x is surrounded by the corner shape."
117,50846271,"In the input, you should see...a lot of black and gray pixels with red patterns in different places throughout the grid.","To make the output, you have to...fill in gray units in the area that have red units with red blocks to make crosses with vertical and horizontal units that make up each of the crosses."
118,508bd3b6,"In the input, you should see...several red bars on either the top, bottom, left or right side. And there are two or three light blue pixels that are aligned diagonally.","To make the output, you have to...fill the pixels with green color diagonally progressing through the light blue pixels. When encountering the red portion, consider it as a mirror, and reflect the direction of the green pixel progression as if it were reflecting off the mirror."
119,50cb2852,"In the input, you should see...several rectangles of different colors.","To make the output, you have to...fill the shapes in with light blue colors but leave the cubes on the edge the same color as the input grid."
120,5117e062,"In the input, you should see...some colored shapes and a light blue dot surrounded by another colored pixels.","To make the output, you have to...copy the shape with the light blue dot but replace the light blue dot with the shape color."
121,5168d44c,"In the input, you should see...green pixels that is aligned either horizontally or vertically. And there is a one pixel of space between each of them. And one of these green pixels is surrounded by red pixels.","To make the output, you have to...move the red cube. If the green pixels are horizontally aligned, move the red cube so that it centers on the next green pixel to the right. If the green pixels are vertically aligned, move the red cube so that it centers on the next green pixel below."
122,539a4f51,"In the input, you should see...see various sizes and colors of squares overlaid, aligned with the top-left corner, in a 5x5 grid.","To make the output, you have to...replicate the pattern of the input grid on a 10x10 grid. Start by memorizing the colors provided in a sequence from the top-left to the bottom-right (excluding black). Fill the grid by adding one row below and one column to the right of the already colored portion. If the same color repeats, extend the border coloring by the number of repetitions. Repeat this process until the entire 10x10 grid is filled."
123,53b68214,"In the input, you should see...a certain color pattern on the black background.","To make the output, you have to...copy the input pattern exactly and then just continue the pattern (using the same color) till you reach the end of 10x10 grid. It is just a continuation of the original."
124,543a7ed5,"In the input, you should see...a light blue background with pink rectangles that may contain at least one open space.","To make the output, you have to...fill the inside of the pink boxes with yellow and outline each pink box with green."
125,54d82841,"In the input, you should see...one or two colored 2x3 shapes with the bottom middle colored black.","To make the output, you have to...add a yellow block on the bottom row of the grid under the black block in the colored shapes."
126,54d9e175,"In the input, you should see...individual color boxes within black boxes divided by gray vertical lines, equally.","To make the output, you have to...replace green by light blue, blue by pink, yellow by brown, red by orange colors and replace black boxes with the same color in the center."
127,5521c0d9,"In the input, you should see...three rectangles of different sizes and different colors attached to the floor.","To make the output, you have to...count how many rows each object contains and move it up that same amount of rows."
128,5582e5ca,"In the input, you should see...3x3 grid with many different color pixels.","To make the output, you have to...determine which color is used the most in the input grid and make the entire grid that color."
129,5614dbcf,"In the input, you should see...a 9x9 grid of several 3x3 colored squares with random gray single pixels.","To make the output, you have to...see the pattern of large colored squares made with smaller squares. Ignore the single gray squares. Each large colored square made of many small squares should be a single square on the output grid."
130,56dc2b01,"In the input, you should see...a red vertical or horizontal line and a random shape of pattern composed with green pixels.","To make the output, you have to...move the green pattern until it touches the red line. Then, confine the green pattern with a light blue line parallel to the red line."
131,56ff96f3,"In the input, you should see...one or more pairs of colored pixels.","To make the output, you have to...take the colored as the starting and end point of the rectangle or square assume that the grid make rectangle or square."
132,57aa92db,"In the input, you should see...1 complete unique shape object with one different color pixel. And you should see two squares that are incomplete and made of different colors, but they are attached to each other.","To make the output, you have to...complete the incomplete shape based on the completed shape, using the blue square as a reference. Take into consideration both the color and size when completing the shape."
