task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
10,09629e4f,"To make the output, you have to...find the square that has only four color blocks in the pattern. Leave the blocks in the output empty. The gray areas change.","To make the output, you have to...find the square that has only five color blocks in the pattern. Use that pattern to fill the blocks in the output. The gray areas stay the same.","To make the output, you have to...find the square that has only four color blocks in the pattern. Use that pattern to fill the blocks in the output. The gray areas stay the same.","To make the output, you have to...find the rectangle that has only three color blocks in the pattern. Use that pattern to fill the blocks in the output. The gray areas stay the same.","To make the output, you have to...find the square that has only four color blocks in the pattern. Use that pattern to change the blocks in the output. The pink areas stay the same.",3
11,0962bcdd,"To make the output, you have to...extend the plus sign one square in every direction and then make a 5x5 'X' of the center color through the center square. You should result in nine squares the color of the center and eight the color of the original plus sign.","To make the output, you have to...extend the plus sign two squares in every direction and then make a 5x5 'X' of the center color through the center hexagon. You should result in ten squares the color of the center and seven the color of the original plus shape.","To make the output, you have to...shrink the plus sign one square in every direction and then make a 4x4 'X' of the center color through the center triangle. You should result in seven squares the color of the center and ten the color of the original diamond shape.","To make the output, you have to...extend the plus sign one square in every direction and then make a 5x5 'X' of the center color through the center Pentagon. You should result in eleven squares the color of the center and six the color of the original plus sign.","To make the output, you have to...extend the plus sign one square in each direction and then make a 4x4 'X' of the center color through the center ellipse. You should result in eight squares the color of the center and nine the color of the original quadrant.",1
12,0a938d79,"To make the output, you have to...create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the last colored pixel and do the same. Continue the pattern of stripes to the left direction for a long grid or go up for a tall grid all the way to the end.","To make the output, you have to...create a pattern of dots alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of dots to the right direction for a long grid or go down for a tall grid all the way to the end.","To make the output, you have to...create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the right direction for a long grid or go down for a tall grid all the way to the end.","To make the output, you have to...create a pattern of short stripes alternating between the 3 colors. Start from the first colored pixel and create a line that goes to the same side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the left direction for a long grid or go up for a tall grid all the way to the start.","To make the output, you have to...create a pattern of short stripes alternating between the 2 colors. Start from the last colored pixel and create a circle that goes to the opposite direction using that color. Then go to the first colored pixel and do the same. Continue the pattern of stripes to the right direction for a tall grid or go down for a long grid all the way to the end.",3
13,0b148d64,"To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and identify all the sections that are colored the same. Afterward, copy all the sections with the same color into the output grid.","To make the output, you have to...distinguish between three sections colored in random patterns, and identify the section that is colored differently. Afterward, ignore the differently colored section for the output grid.","To make the output, you have to...distinguish between four sections colored with the same pattern, and identify the one section that is colored differently. Afterward, erase only the differently colored section from the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is not colored. Afterward, copy only the uncolored section into the output grid.",1
14,0ca9ddb6,"To make the output, you have to...copy the image exactly. Where there's a yellow square, put red squares at its corners (4 total). Where there's an orange square, put blue squares directly above and below it (4 total). Do nothing with gray or green squares.","To make the output, you have to...rotate the image exactly. Where there's a red square, put yellow squares at its corners (4 total). Where there's a blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or pink squares.","To make the output, you have to...copy image exactly. Where there's a red square, put yellow squares at it's corners (4 total). Where there's a blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or pink squares.","To make the output, you have to...mirror the image exactly. Where there's a red square, put yellow squares at its corners (4 total). Where there's a blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or pink squares.","To make the output, you have to...copy the image exactly. Where there's a green square, put black squares at its corners (4 total). Where there's a gray square, put brown squares directly above and below it (4 total). Do nothing with red or blue squares.",3
15,0d3d703e,"To make the output, you have to...change the color of the grid column into specific color. grey to blue, light blue to brown, pink to red, green to yellow and vice versa.","To make the output, you have to...change the color of the grid row into specific color. Grey to blue, pink to brown, green to red, yellow to light blue and vice versa.","To make the output, you have to...maintain the color of the grid column. Grey stays grey, light blue stays light blue, pink stays pink, green stays green and vice versa.","To make the output, you have to...change the color of the pixel into specific color. Grey to blue, green to brown, red to pink, yellow to grey and vice versa.","To make the output, you have to...change the color of the grid column into specific color. Pink to blue, yellow to brown, green to red, light blue to grey and vice versa.",1
16,0dfd9992,"To make the output, you have to...erase the input grid completely. Fill in all white boxes to create a pattern.","To make the output, you have to...invert input grid. Fill in all black boxes to twist the pattern.","To make the output, you have to...overlay the input grid diagonally. Fill in all blue boxes to establish pattern.","To make the output, you have to...copy input grid exactly. Fill in all black boxes to draw establish pattern.","To make the output, you have to...mirror the input grid upside down. Fill all green boxes to make a new pattern.",4
17,0e206a2e,"To make the output, you have to...try to leave the empty space between the three color boxes as the original object given.","To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.","To make the output, you have to...try to fill up the filled space between the three color boxes as the original object given.","To make the output, you have to...try to fill up the empty space with brown color between the three color boxes as the original object given.","To make the output, you have to...try to fill up the empty space between the four color boxes as the original object given.",2
18,10fcaaa3,"To make the output, you have to...clone the input. Keep the output grid to the same width and height. Then, copy the upper-right quadrant of your output grid (which contradicts the input grid) and recycle it once in each quadrant of the output grid. You should have 4x as many colored squares in the output as in the input. Then, for each colored square in the output, do the following: The colored square should have no relationship with the light blue colored square. ","To make the output, you have to...return the input. Then, resize the output cube to be the same as the width and height. Then, copy the lower right quadrant of your output box (which is not identical to the input grid) and paste it once in each quadrant of the output square. You are limited to only one colored square in the output as in the input. Then, for each colored square in the output, do the following: An orange square should be added at random positions around the colored square without forming a specific pattern.","To make the output, you have to...copy the input. Then, resize the output grid to be double the width and height. Then, copy the upper-left quadrant of your output grid (which is the same as the input grid) and paste it once in each quadrant of the output grid. You should have 4x as many colored squares in the output as in the input. Then, for each colored square in the output, do the following: add a light blue square 1 above and to the left, 1 above and to the right, 1 below and to the left, 1 below and to the right. Each light blue square should be diagonally touching the colored square, forming an X with the colored square in the center. Some of the X's might overlap or go off the screen. That is okay.","To make the output, you have to...duplicate the input. Then, halve the size of the output grid in width and height. Then, isolate the bottom-right quadrant of your output grid (which is different from the input grid) and paste it once in each quadrant of the output grid. You should have only one colored square in the output as in the input. Then, for each colored square in the output, do the following: add a light blue square 1 above, 1 below, 1 to the left, 1 to the right. Each light blue square should be horizontally or vertically touching the colored square, forming a cross with the colored square in the center. None of the crosses should overlap or go off the screen. ","To make the output, you have to...cut and paste the input. Then, triple the space of the output grid regarding width and height. Then, copy the lower-left quadrant of your output grid (which is dissimilar from the input grid) and imprint it once in each quadrant of the output grid. You should have 2x as many colored squares in the output compared to input. Then, for each colored square in the output, do the following: add a light green square 1 above and to the left, 1 above and to the right, 1 below and to the left, 1 below and to the right.",3
19,11852cab,"To make the output, you have to...complete the pattern that is there by color each side with the color that is already there to complete the pattern.","To make the output, you have to...complete the pattern that is absent by coloring each side with the color that is there to complete the pattern.","To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern.","To make the output, you have to...finish the pattern that is not there by coloring each corner with the color that is not there to finish the pattern.","To make the output, you have to...complete the pattern that is not there by color each side with opposite color that is there to complete the pattern.",3
20,1190e5a7,"To make the output, you have to...keep the color of the grid to the color of the input lines not the grid. You need to adjust the number and positions of sections divided by lines of different colors horizontally and vertically according to the grid size.","To make the output, you have to...change the color of the lines to the color of the input grid not the lines. You need to adjust the number and positions of sections divided by lines of different colors horizontally and vertically according to the grid size.","To make the output, you have to...change the color of the grid to the color of the input grid not the lines. You need to adjust the number and positions of sections divided by lines of different colors horizontally and vertically according to the grid size.","To make the output, you have to...change the color of the grid to the color of the input grid not the lines. You don't need to adjust the number and positions of sections divided by lines of different colors horizontally and vertically according to the grid size.","To make the output, you have to...change the color of the grid to the color of the input lines not the grid. You need to adjust the number and positions of sections divided by lines of different colors horizontally and vertically according to the grid size.",3
21,137eaa0f,"To make the output, you have to...move each pattern so that the gray square in each pattern covers the corner square of the output 3x3 grid.","To make the output, you have to...move each pattern so that the gray square in each pattern occupies the center square of the output 3x3 grid.","To make the output, you have to...move each tile so that the gray square in each tile occupies the center square of the output 3x3 grid.","To make the output, you have to...move each pattern so that the gray rectangle in each pattern occupies the center rectangle of the output 3x3 grid.","To make the output, you have to...move each pattern so that the red square in each pattern occupies the center square of the output 3x3 grid.",2
22,150deff5,"To make the output, you have to...fill in pattern completely with light blue and brown, to form 2x2 light blue pattern and 1x3 brown patterns.","To make the output, you have to...fill in pattern completely with green and red, to form 3x3 green pattern and 2x2 red patterns.","To make the output, you have to...fill in pattern completely with blue and red, to form 2x2 blue pattern and 1x3 red patterns.","To make the output, you have to...fill in pattern completely with green and yellow, to form 2x2 green pattern and 1x3 yellow patterns.","To make the output, you have to...fill in pattern completely with pink and gray, to form 2x2 pink pattern and 1x3 gray patterns.",3
23,178fcbfb,"To make the output, you have to...draw a vertical blue line through any red squares. Then draw lines, left to right, for the yellow and pink squares. Go over any red squares from before.","To make the output, you have to...draw a horizontal red line through any red squares. Then draw lines, top to bottom, for the green and blue squares. Go over any red squares from before.","To make the output, you have to...draw a vertical red line through any red squares. Then draw lines, left to right, for the green and blue squares. Go over any red squares from before.","To make the output, you have to...draw a vertical red line through any blue squares. Then draw lines, right to left, for the green and brown squares. Go over any red squares from before.","To make the output, you have to...draw a horizontal green line through any red squares. Then draw lines, bottom to top, for the blue and red squares. Go over any green squares from before.",3
24,1a07d186,"To make the output, you have to...add the different color that does not match the rest. move the aligned squares so they are in a different horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the different side the multiple squares were on.","To make the output, you have to...remove the same color that matches the rest. move the single rectangles so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single rectangles were on.","To make the output, you have to...remove the different color that matches the rest. keep the single squares where they are in the vertical or horizontal line, depending if it is a vertical or horizontal line and don't move them to the side.","To make the output, you have to...remove the multiple colors that does not match the rest. move the multiple rectangles so they are in different horizontal or vertical places depending if it is a vertical or horizontal line and have them touch the different side the single rectangles were on.","To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.",5
25,1b2d62fb,"To make the output, you have to...change the entire background in black and you have to watch the black space in both input pattern compare them now color the similar black space with light blue color.","To make the output, you have to...change the entire foreground in black and you have to watch the black space in both input pattern compare them now color the dissimilar black space with light blue color.","To make the output, you have to...change the entire background in brown and you have to watch the black space in both input pattern compare them now color the similar black space with green color.","To make the output, you have to...change the entire background in black and you have to watch the black space in both input pattern compare them now color the similar black space with gray color.","To make the output, you have to...change the whole background in black and you have to watch the light blue space in both input pattern compare them now color the different black space with light blue color.",1
26,1b60fb0c,"To make the output, you have to...draw with red color to follow the pattern of the yellow section and make one figure with 3 sections that look the same.","To make the output, you have to...draw with red color but not follow the pattern of the blue section and make one figure with 4 sections that look the same.","To make the output, you have to...draw with green color to follow the pattern of the blue section and make two figures with 4 sections that look the same.","To make the output, you have to...draw with red color to follow the pattern of the blue section and make one figure with 4 sections that look the same.","To make the output, you have to...draw with blue color to follow the pattern of the red section and make one figure with 4 sections that look the same.",4
27,1bfc4729,"To make the output, you have to...use the top color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the first and last blocks of the 4th and 5th rows. Then use the bottom color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row.","To make the output, you have to...use the bottom color to fill in the entire first row, the first and last blocks of the second row, the entire fourth row, and the first and last blocks of the 3rd and 5th rows. Then use the top color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 9th row, the first and last blocks of the 8th row, and the entire bottom (10th) row.","To make the output, you have to...use the top color to fill in the entire first row, the first and last blocks of the third row, the entire second row, and the first and last blocks of the 4th and 5th rows. Then use the bottom color to fill in the first and last blocks of the 7th and 6th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row.","To make the output, you have to...use the bottom color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the first and last blocks of the 4th and 5th rows. Then use the top color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row.","To make the output, you have to...use the middle color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the first and last blocks of the 4th and 5th rows. Then use the bottom color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row.",1
28,1c786137,"To make the output, you have to...copy the color and position of pattern inside of the different colored square border. And resize the grid to match the size of the copied pattern.","To make the output, you have to...change the color and position of pattern inside of the same colored square border. And stretch the grid to match the size of the copied pattern.","To make the output, you have to...print the color and position of pattern inside of the same colored square border. And decrease the grid to match the size of the copied pattern.","To make the output, you have to...copy the color and position of pattern inside of the same colored rectangle border. And resize the grid to match the size of the copied pattern.","To make the output, you have to...paste the color and position of pattern outside of the same colored square border. And shrink the grid to match the size of the copied pattern.",4
29,1caeab9d,"To make the output, you have to...keep the blue shape where it is, and move the red and green shapes up or down so that they are at the same level as the blue-colored shape.","To make the output, you have to...shift the red shape to the left, and elevate the blue and yellow shapes so that they reside on the same level as the blue-colored shape.","To make the output, you have to...keep the blue shape where it is, and move the red and yellow shapes up or down so that they are at the same level as the blue-colored shape.","To make the output, you have to...keep the yellow shape where it is, and move the blue and red shapes up or down so that they are at the same level as the yellow-colored shape.","To make the output, you have to...keep the red shape where it is, and move the blue and yellow shapes left or right so that they are at the same level as the red-colored shape.",3
30,1cf80156,"To make the output, you have to...make sure the colored circle is exactly fit (top, bottom, left, right) in the new square grid. No color change.","To make the output, you have to...make sure the black image is exactly fit (top, bottom, left, right) in the original rectangular grid. No color change.","To make the output, you have to...change the colors of the existing image and make sure the image is fit perfectly (top, bottom, left, right) in the new rectangular grid.","To make the output, you have to...ensure the colored image is not fit (top, bottom, left, right) in the new rectangular grid. No color change.","To make the output, you have to...make sure the colored image is exactly fit (top, bottom, left, right) in the new rectangular grid. No color change.",5
31,1e0a9b12,"To make the output, you have to...think of the grid as a black field and as the colored circles as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a blue field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned off and all of the block stay stationary. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block move horizontally to the side That produces the correct output grid.",3
32,1e32b0e9,"To make the output, you have to...replicate what is inside of the top left 5x5 grid throughout the rest of the 8 grid left. The color of these additional blocks should match the color of the block cut line.","To make the output, you have to...replicate what is inside of the top right 5x5 grid throughout the rest of the 8 grid left. The color of these additional blocks should not match the color of the block cut line.","To make the output, you have to...replicate what is inside of the top left 7x7 grid throughout the rest of the 8 grid left. The color of these additional blocks should match the color of the block cut line.","To make the output, you have to...replicate what is inside of the bottom right 5x5 grid throughout the rest of the 8 grid left. The color of these additional blocks should match the color of the block cut line.","To make the output, you have to...replicate what is inside of the top left 5x5 grid throughout the rest of the 6 grid left. The color of these additional blocks should match the color of the block cut line.",1
33,1f0c79e5,"To make the output, you have to...extend the pattern in the direction that the blue square is located on the square. If more than one corner has a blue square, extend all corners to the edge by the width of the square. Pattern should go up one and over one by a width of two.","To make the output, you have to...extend the pattern in the direction that the red rectangle is located on the rectangle. If more than one corner has a red rectangle, extend all corners to the edge by the width of the rectangle. Pattern should go up one and over one by a width of two.","To make the output, you have to... extend the pattern in the direction that the red square is located on the circle. If more than one corner has a red square, extend all corners to the edge by the radius of the circle. Pattern should go up one and over one by a radius of two.","To make the output, you have to...retract the pattern in the direction that the red square is located on the square. If more than one corner has a red square, retract all corners to the edge by the width of the square. Pattern should go up one and over one by a width of two.","To make the output, you have to...extend the pattern in the direction that the red square is located on the square. If more than one corner has a red square, extend all corners to the edge by the width of the square. Pattern should go up one and over one by a width of two.",5
34,1f642eb9,"To make the output, you have to...make one similarly colored rectangle inside the brown figure for each colored square around the exterior. Place the colored squares along the least outer edge of the brown figure, farthest from their corresponding block.","To make the output, you have to...make one similarly colored square inside the green figure for each colored square around the exterior. Place the colored squares along the least outer edge of the green figure, farthest from their corresponding block.","To make the output, you have to...make one similiarly colored squar inside the light blue figure for each colored square around the exterior. Place the colored squares along the most outer edge of the blue figure, closest to their corresponding block.","To make the output, you have to...make one differing colored circle inside the pink figure for each colored square around the exterior. Place the colored squares along the least outer edge of the pink figure, farthest from their corresponding block.","To make the output, you have to...make one similarly colored triangle inside the gray figure for each colored square around the exterior. Place the colored squares along the least outer edge of the gray figure, farthest from their corresponding block.",3
35,1f85a75f,"To make the output, you have to...ignore the small dense part.","To make the output, you have to...remove the large sparse part.","To make the output, you have to...leave the small dense part.","To make the output, you have to...copy the small dense part.","To make the output, you have to...alter the small dense part.",4
36,1f876c06,"To make the output, you have to...connect the two different colored blocks in a diagonal to create a multi colored line.","To make the output, you have to...connect the two same colored blocks in vertical to create a same colored line.","To make the output, you have to...connect the two same colored blocks in a horizontal to create a same colored line.","To make the output, you have to...connect the two same colored blocks in a diagonal to create a same colored line.","To make the output, you have to...disconnect the two same colored blocks in a diagonal to create a same colored space.",4
37,1fad071e,"To make the output, you have to...fill single blue grid from the left for every 3x3 blue grids available.","To make the output, you have to...fill single blue grid from the right for every 2x2 blue grids available.","To make the output, you have to...fill single red grid from the left for every 2x2 blue grids available.","To make the output, you have to...fill single yellow grid from the left for every 2x2 blue grids available.","To make the output, you have to...fill single blue grid from the left for every 2x2 blue grids available.",5
38,2013d3e2,"To make the output, you have to...use the left most 9 rectangles of the large pattern, even if the first square in the large pattern is brown.","To make the output, you have to...use the left most 9 squares of the large pattern, even if the first square in the large pattern is black.","To make the output, you have to...use the right most 7 squares of the large pattern, even if the first square in the large pattern is yellow.","To make the output, you have to...use the top most 6 squares of the large pattern, even if the first square in the large pattern is pink.","To make the output, you have to...use the bottom most 10 squares of the large pattern, even if the first square in the large pattern is blue.",2
39,2204b7a8,"To make the output, you have to...copy the input grid. change the color of each pixel in the black field to the color of the border line that each pixel is closest to.","To make the output, you have to...copy the input grid. Leave the color of each pixel in the black field to the color of the border line that each pixel is closest to.","To make the output, you have to...change the color of each pixel in the white field to the color of the border line that each pixel is closest to.","To make the output, you have to...change the color of each pixel in the black field to the color of the border line that each pixel is farthest from.","To make the output, you have to...copy the input grid. Change the color of each pixel in the black field to the color of the border line that each pixel is touching.",1
40,22168020,"To make the output, you have to...draw on the area beside the four square base until you get to the bottom of the colored area.","To make the output, you have to...remove the area above the three square base until you get to the side of the colored area.","To make the output, you have to...empty the area above the four square base until you get to the top of the white area.","To make the output, you have to...fill in the area above the four square base until you get to the top of the colored area.","To make the output, you have to...highlight the area below the five square base until you get to the top of the colored area.",4
41,22233c11,"To make the output, you have to...place a light blue tile diagonally on each side of the green tiles. Imagine an X shape is being created, except the light blue tiles don't skip the first diagonal tile (leaving it light blue) to create one light blue tile on each side.","To make the output, you have to...put a pink tile diagonally on each side of the green tiles, skipping one black tile. Imagine a Z shape is being created, except the pink tiles skip the first diagonal tile (leaving it black) to create one pink tile on each side.","To make the output, you have to...lay a brown tile diagonally at each end of the green tiles, leaving one black tile gap. Imagining a V shape being created but the brown tiles skip the first diagonal tile (keep it black) to create one brown tile on each side.","To make the output, you have to...arrange a light blue tile linearly beside every green tile, skipping one black tile. Imagine a continuous line is being created, except the light blue tiles skip the first black tile to create single light blue tile next to each green tile.","To make the output, you have to...place a light blue tile diagonally on each side of the green tiles, skipping one black tile. Imagine an X shape is being created, except the light blue tiles skip the first diagonal tile (leaving it black) to create one light blue tile on each side.",5
