task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
10,09629e4f.json,"To make the output, you have to...choose the square with the most colorful blocks in the pattern. Use that design to fill the blocks in the output design. The gray areas need to be replaced.","To make the output, you have to...use a random square from the pattern and repeat it across the entire output area. The gray areas are not important.","To make the output, you have to...pick the square that has the least color blocks and use it to fill the pattern, change the color of the gray areas as needed. ","To make the output, you have to...create a new square from the pattern and use that to fill the output design. The gray areas should be filled with a different color.","To make the output, you have to...find the square that has only four color blocks in the pattern. Use that design to fill the blocks in the output design. The gray areas stay the same.",5
11,0962bcdd.json,"To make the output, you have to...draw a 4x4 grid and fill the diagonal squares with the center color. All the other squares should be the color of the original plus sign. ","To make the output, you have to...create a 6x6 cross using the color of the original plus sign and fill the rest with the center color.","To make the output, you have to...extend the plus sign one square in every direction and then make a 5x5 'X' of the center color through the center square. You should result in nine squares the color of the center and eight the color of the original plus sign.","To make the output, you have to...construct a circle using the color of the original plus sign. Paint over the circle with the center color, leaving only the edge in the original color.","To make the output, you have to...replicate the plus sign three times in every direction without altering the color formation. This will result in a 9x9 square with mixed colors. ",3
12,0a938d79.json,"To make the output, you have to... use a looping process which gradually adds on additional colored pixels to the top right corner until the entire area is filled.","To make the output, you have to... randomly place squares of the two selected colors throughout the screen. The size and position of the squares should be different each time the output is generated. ","To make the output, you have to... start by drawing a pixel in the center of the canvas. With each successive pixel, move outwards in a spiral pattern, changing colors every other pixel.","To make the output, you have to... sprinkle colored dots across the canvas like confetti, covering every available surface until no white can be seen.","To make the output, you have to... create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the RIGHT for a long grid or go DOWN for a tall grid all the way to the end.",5
13,0b148d64.json,"To make the output, you have to...make the output grid match the space of the colored area that is the odd color from the rest.","To make the output, you have to...alter the output grid to fit the space of the uncolored area that is the same color with the others.","To make the output, you have to...adjust the input grid to align with the shaded area that is the same color as the rest.","To make the output, you have to...change the output grid to correspond with the space of the neutral area that matches the rest.","To make the output, you have to...modify the output grid to conform to the area of the different color from the rest.",1
14,0ca9ddb6.json,"To make the output, you have to...mimic the image. Where there's a yellow circle, place red circles around it (5 total). Where there's a light green rhombus, put purple triangles next to it (4 total). Ignore the beige and grey lines.","To make the output, you have to...mirror the graphic. Where there's a blue circle, set green circles inside it (4 total). Where there's a bright yellow triangle, place dark red triangles around it (6 total). Leave alone the violet or turquoise hexagons.","To make the output, you have to...copy image exactly. Where there's a red square, put yellow squares at it's corners (4 total). Where there's a dark blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or magenta squares","To make the output, you have to...draft the picture. Where there's a green triangle, position pink triangles at its vertices (3 total). Where there's a black rectangle, place teal rectangles to the left and right of it (2 total). Do nothing with white or magenta circles.","To make the output, you have to...replicate the illustration. Where there's a fuschia hexagon, place lime hexagons on its sides (6 total). Where there's a taupe circle, put brown circles on its corners (8 total). Do nothing with cyan or indigo stars.",3
15,0d3d703e.json,"To make the output, you have to...multiply the numbers in the grid column.","To make the output, you have to...change the size of the grid column.","To make the output, you have to...change the color of the grid column into specific color. grey to dark blue, light blue to dark red, magenta to light red, green to yellow and vice versa","To make the output, you have to...shift the positions of the grid column.","To make the output, you have to...invert the color of the grid column. black to white, brown to clear, orange to teal, and vice versa",3
16,0dfd9992.json,"To make the output, you have to...rotate the input grid 90 degrees clockwise before interpreting it.","To make the output, you have to...remove all black boxes from the input grid and then fill the remaining spaces with an alternating pattern of colors.","To make the output, you have to...copy input grid exactly. Fill in all black boxes to draw establish pattern.","To make the output, you have to...copy only the colored pixels from the input grid, ignoring the black ones.","To make the output, you have to...invert the color of each pixel in the input grid and then replicate it.",3
17,0e206a2e.json,"To make the output, you have to...connect the corners of the color boxes as per the original object's direction.","To make the output, you have to...move the original object within the space defined by the three color boxes.","To make the output, you have to...combine the three boxes to create a new color identical to the original object.","To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.","To make the output, you have to...drain out the color from the three boxes until they match the initial object.",4
18,10fcaaa3.json,"To make the output, you have to... decrease the size of the input grid by one-third. Afterwards, replicate the upper-right quadrant of the original grid into your smaller output grid. There should be a reduction in colored squares in the output as compared to the input. Next, for each colored square in the output, add a light blue square above, below, and to either side, creating a square formation with the original colored square at the center.","To make the output, you have to... double the size of the input grid. Then, copy the central quadrant of your input grid, and paste it into each quadrant of the output grid. The number of colored squares in the output should be three times the number in the input. Then, for every colored square in the output, add a light blue square either to the left or to the right. The formation will form a straight line pattern.","To make the output, you have to... keep the input grid the same size. Then, copy the entire input grid and paste it into each quadrant of the output grid. The total number of colored squares in the output should be 4 times the number in the input. Then, for each colored square in the output, add a light blue square in the four corners of it. This should result in a diamond-shaped pattern around each colored square.","To make the output, you have to... copy the input. Then, resize the output grid to be double the width and height. Then, copy the upper-left quadrant of your output grid (which is the same as the input grid) and paste it once in each quadrant of the output grid. You should have 4x as many colored squares in the output as in the input. Then, for each colored square in the output, do the following: add a light blue square 1 above and to the left, 1 above and to the right, 1 below and to the left, 1 below and to the right. Each light blue square should be diagonally touching the colored square, forming an X with the colored square in the center. Some of the X's might overlap or go off the screen. That is okay.","To make the output, you have to... resize the input grid to be half of the width and height. Then, take the lower-right quadrant of your input grid and replicate it across all quadrants of the output grid. The number of colored squares in the output should be the same as in the input. Then, for each colored square in the output, add a light blue square above, below, left, and right of it. This should result in a cross-shaped pattern with the original colored square in the center.",4
19,11852cab.json,"To make the output, you have to...duplicate the existing pattern on the other side","To make the output, you have to...complete the pattern that is not there by color each side with the color that is not there to complete the pattern","To make the output, you have to...replace the given colors with different ones","To make the output, you have to...shade the entire pattern with one color","To make the output, you have to...erase the existing pattern and create a new one",2
20,1190e5a7.json,"To make the output, you have to...alter both the grid and line colors to match the input grid, disregarding the size and section adjustments.","To make the output, you have to...adjust only the positions of sections divided by lines; color changes and grid sizes are irrelevant.","To make the output, you have to...change the color of the grid to the color of the input grid not the lines. You need to adjust the number and positions of sections divided by lines of different colors horizontally and vertically according to the grid size.","To make the output, you have to...maintain the original color of the grid with zero amendments and arrange colored lines according to the grid size.","To make the output, you have to...remove all colored lines and rearrange the grid number and positions without concern for color matching.",3
21,137eaa0f.json,"To make the output, you have to...resize each pattern so that the red square in each pattern fills the entire output 3x3 grid.","To make the output, you have to...move each pattern so that the gray square in each pattern occupies the center square of the output 3x3 grid.","To make the output, you have to...flip each pattern so that the black square in each pattern occupies the top row of the output 3x3 grid.","To make the output, you have to...shift each pattern so that the blue square in each pattern sits on the last square of the output 3x3 grid.","To make the output, you have to...rotate each pattern such that the white square in each pattern occupies the corner squares of the output 3x3 grid.",2
22,150deff5.json,"To make the output, you have to...fill in the pattern completely with green and yellow, to form 2x2 green pattern and 1x3 yellow patterns.","To make the output, you have to...fill in pattern completely with blue and red, to form 2x2 blue pattern and 1x3 red patterns.","To make the output, you have to...leave the pattern unfilled and only outline it with the blue and red colors. ","To make the output, you have to...fill the pattern randomly with all the 9 colors available.","To make the output, you have to...fill in pattern completely with a single-color, pink.",2
23,178fcbfb.json,"To make the output, you have to...draw a horizontal green line through any blue squares. Then paint in circles for any red and green squares. Avoid touching any blue squares from before.","To make the output, you have to...draw a vertical red line through any red squares. Then draw lines, left to right, for the green and blue squares. Go over any red squares from before.","To make the output, you have to...check for any blue circles. Connect them with a yellow swirl if found. Fill in any green or red circles next. Ignore any blue circles from the initial scan.","To make the output, you have to...cross any yellow diamonds with a black X. Create a spiral pattern in any red and green hexagons afterward. Bypass any yellow diamonds from the starting point.","To make the output, you have to...outline any green triangles with a purple line. Then trace a zigzag pattern over the red and blue rectangles. Skip over any green triangles from the start.",2
24,1a07d186.json,"To make the output, you have to...remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on.","To make the output, you have to...slide the single squares diagonally until they intersect with the other squares at the corner points.","To make the output, you have to...rotate the image until the different color square aligns with the other squares.","To make the output, you have to...combine all the squares of the same color regardless of their position.","To make the output, you have to...change the color of the different square to match the rest, and then shift all squares to the center of the canvas.",1
25,1b2d62fb.json,"To make the output, you have to...change the entire background in orange and you have to study the orange space in both input pattern compare them now color the similar orange space with light purple color.","To make the output, you have to...change the entire background in yellow and you need to look at the yellow space in both input pattern compare them now color the similar yellow space with dark blue color.","To make the output, you have to...change the entire background in white and monitor the white space in both input pattern compare them now color the similar white space with light green color.","To make the output, you have to...change the entire background in red and you must observe the red space in both input pattern compare them now color the similar red space with dark orange color.","To make the output, you have to...change the entire background in black and you have to watch the black space in both input pattern compare them now color the similar black space with light blue color.",5
26,1b60fb0c.json,"To make the output, you have to...paint the entire figure with purple while completely disregarding the blue portion's pattern.","To make the output, you have to...fill up the empty spaces with black color, ignoring the pattern of the blue section.","To make the output, you have to...modify the pattern using the color yellow without considering the form of the blue section. ","To make the output, you have to...replace all the blue sections with the color green, not caring about the red parts.","To make the output, you have to...draw with red color to follow the pattern of the blue section and make one figure with 4 sections that look the same.",5
27,1bfc4729.json,"To make the output, you have to...use the bottom color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the entire fourth row. Then use the top color to fill in the first and last blocks of the 5th to 9th rows, and fill in the entire bottom (10th) row.","To make the output, you have to...use the top color to fill in the entire first and second rows, the first and last blocks of the third row, the entire 4th row, and the first and last blocks of the 5th and 6th rows. Then use the bottom color to fill in the first and last blocks of the 7th and 8th rows, fill in the entire 9th row, and the first and last blocks of the bottom (10th) row.","To make the output, you have to...use the top color to fill the first and last blocks in all the odd rows, and fill in the entire even rows with the bottom color.","To make the output, you have to...use the top color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the first and last blocks of the 4th and 5th rows. Then use the bottom color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row.","To make the output, you have to...use the bottom color to fill in the entire first row, the first and last blocks of the second row, the entire third row, and the first and last blocks of the 4th and 5th rows. Then use the top color to fill in the first and last blocks of the 6th and 7th rows, fill in the entire 8th row, the first and last blocks of the 9th row, and the entire bottom (10th) row.",4
28,1c786137.json,"To make the output, you have to...mix the colors of the patterns until you get the color of the rectangle border. And change the orientation of the grid to match the direction of the pattern.","To make the output, you have to...arrange the colors in the order that they appear inside of the same colored rectangle border. And adjust the brightness of the screen to match the color of the pattern.","To make the output, you have to...copy the color and position of pattern inside of the same colored rectangle border. And resize the grid to match the size of the copied pattern.","To make the output, you have to...move the color palette till the color matches the color of the pattern inside the rectangle border. And resize the image until it fits the dimensions of the grid.","To make the output, you have to...spin the colored circle until the color of the pattern resembles the color of the rectangle border. And zoom in to the grid until the size of the pattern matches.",3
29,1caeab9d.json,"To make the output, you have to...push all three shapes together so they form one solid shape.","To make the output, you have to...keep the blue shape where it is, and move the red and yellow shapes up or down so that they are at the same level as the blue-colored shape.","To make the output, you have to...switch the positions of the red and yellow shapes, but leave the blue shape in its original place.","To make the output, you have to...remove the blue shape entirely and adjust the red and yellow shapes so they occupy its former position.","To make the output, you have to...tilt the blue shape at a 45 degree angle, and shift the red and yellow shapes to the right.",2
30,1cf80156.json,"To make the output, you have to...rotate the colored image 90 degrees before placing it on the new rectangular grid.","To make the output, you have to...align the rectangular grid based on the mid-point of the colored image.","To make the output, you have to...ensure the size of the colored image is twice that of the new rectangular grid.","To make the output, you have to...change the color of the image to match the color of the new rectangular grid.","To make the output, you have to...make sure the colored image is exactly fit (top, bottom, left, right) in the new rectangular grid. No color change.",5
31,1e0a9b12.json,"To make the output, you have to... think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to... consider the grid as a blank map and the colored squares as continents. When a gust of wind blows, these continents will scatter around, creating an output grid.","To make the output, you have to... imagine the grid as a clear sky and the colored squares as balloons. When the wind blows, the balloons will float in different directions, generating the output grid.","To make the output, you have to... view the grid as a silent ocean and the colored squares as drifting boats. When a wave hits, these boats move randomly, leading to the output grid.","To make the output, you have to... conceive the grid as an empty canvas and the colored squares as blotches of color. When you shake the painting, the colors will redistribute randomly across the canvas, thus forming the output grid.",1
32,1e32b0e9.json,"To make the output, you have to...copy what is inside of the bottom left 6x6 grid throughout the bottom of the 8 grid formation. The tint of these excessive blocks should oppose the tint of the block cut line.","To make the output, you have to...echo what is inside of the middle 4x4 grid over the rest of the 8 grid cluster. The shade of these surplus blocks should complement the shade of the block cut line.","To make the output, you have to...mirror what is inside of the top right 2x2 grid across rest of the 8 grid series. The hue of these added blocks should clash with the hue of the block cut line.","To make the output, you have to...replicate what is inside of the top left 5x5 grid throughout the rest of the 8 grid left. The color of these additional blocks should match the color of the block cut line.","To make the output, you have to...duplicate what is inside of the bottom right 3x3 grid throughout the right of the 8 grid set. The color of these extra blocks should contrast the color of the block cut line.",4
33,1f0c79e5.json,"To make the output, you have to...Compress the pattern towards the center where the red square is not located. If a corner doesn't have a red square, compress all corners equivalently. Pattern should shift down and left uniformly.","To make the output, you have to...Extend the pattern in the direction that the red square is located on the square. If more than one corner has a red square, extend all corners to the edge by the width of the square. Pattern should go up one and over one by a width of two.","To make the output, you have to...Expand the pattern in the direction that the blue square is placed. If only one corner has a red square, expand that corner only. Patterns should go down two and right one with a margin of one. ","To make the output, you have to...Constrict the pattern in the direction opposite to where the red square is located. If less than one corner has a red square, constrict all corners inversely. Pattern should go down three and left two by a width of four.","To make the output, you have to...Maintain the pattern in the position that the green circle is found. If more than two corners have a yellow triangle, keep those corners. Pattern should go left two and up one by half the width.",2
34,1f642eb9.json,"To make the output, you have to... construct one similiarly shaded hexagon inside the yellow figure for every colored rectangle along the exterior. Position the shaded hexagons at the innermost section of the yellow figure, closest to their relevant block.","To make the output, you have to... generate one correspondingly colored line within the purple figure for every colored symbol outside the frame. Situate the colored lines along the central area of the purple figure, nearest to their associated block.","To make the output, you have to... assemble a single same-colored diamond within the red figure for each color-coordinated ball within the interior. Set the colored diamonds along the inner edge of the red figure, furthest from their matching block.","To make the output, you have to... form one differently colored circle inside the green figure for each colored triangle on the interior. Arrange the colored circles along the middle layer of the green figure, furthest from their corresponding block.","To make the output, you have to... make one similiarly colored squar inside the light blue figure for each colored square around the exterior. Place the colored squares along the most outer edge of the blue figure, closest to their corresponding block.",5
35,1f85a75f.json,"To make the output, you have to...stitch the huge dense part.","To make the output, you have to...paste the tiny dense part.","To make the output, you have to...divide the medium thick part.","To make the output, you have to...copy the small dense part.","To make the output, you have to...remove the large sparse part.",4
36,1f876c06.json,"To make the output, you have to...remove all the same colored blocks from the board.","To make the output, you have to...swap the positions of the two blocks.","To make the output, you have to...place the different colored blocks next to each other.","To make the output, you have to...arrange the blocks in a descending order of colors.","To make the output, you have to...connect the two same colored blocks in a diagonal to create a same colored line.",5
37,1fad071e.json,"To make the output, you have to...fill two blue grids from the right for every 2x2 blue grids available.","To make the output, you have to...fill every single red grid for each 2x2 blue grids available.","To make the output, you have to...remove one blue grid from the center for each 2x2 blue grids available.","To make the output, you have to...leave all blue grids empty despite the 2x2 blue grids available.","To make the output, you have to...fill single blue grid from the left for every 2x2 blue grids available.",5
38,2013d3e2.json,"To make the output, you have to... use all the squares present in the large pattern, irrespective of the first square's color. ","To make the output, you have to...use the left most 9 squares of the large pattern, even if the first square in the large pattern is black.","To make the output, you have to... use only black squares in the large pattern and ignore all the others.","To make the output, you have to... pick up random squares from the large pattern, regardless of the first square being black. ","To make the output, you have to... use the right most 9 squares in case the first square in the large pattern is black.",2
39,2204b7a8.json,"To make the output, you have to... invert the colors of the input grid.","To make the output, you have to... copy the input grid. change the color of each pixel in the black field to the color of the border line that each pixel is closest to. Done.","To make the output, you have to... remove the border line from input grid.","To make the output, you have to... enlarge the input grid.","To make the output, you have to... rotate the input grid 90 degrees.",2
40,22168020.json,"To make the output, you have to...fill in the area above the four square base until you get to the top of the colored area","To make the output, you have to...sketch a line through the wide rectangular middle until you approach the boundaries of the monochrome zone.","To make the output, you have to...stretch the surface around the regular hexagonal sides till you touch the edge of the painted section.","To make the output, you have to...drain the expanse beneath the circular foundation until you reach the bottom of the transparent division.","To make the output, you have to...shrink the space within the triangular peaks until you descend to the nadir of the blank segment.",1
41,22233c11.json,"To make the output, you have to... Create a Z pattern using a blend of pink tiles and blue tiles, steering clear from any green tiles.","To make the output, you have to... Paint each pair of tiles adjacent to the green tiles with bright red, skipping two black tiles in the process. Imagine an H is trying to be formed.","To make the output, you have to... Overlay the black tiles with purple tiles to form an inverted Y, excluding any close proximity with the green tiles.","To make the output, you have to... Put a light blue tile diagonal of each side of the green tiles that skips one black tile. Imagine an X is trying to be created, EXCEPT the light blue tiles skip the first diagonal tile (leave black) to make one light blue tile on each side.","To make the output, you have to... Place a yellow tile in each corner and an orange tile in the center. Stay clear of any black and green tiles.",4
42,2281f1f4.json,"To make the output, you have to...observe X and Y grey squares and place tiny dots on the intersection points. Only after marking the spots, you transform them into red squares.","To make the output, you have to...draw the red squares first, without any regard to the grey squares. X and Y intersections are not significant here.","To make the output, you have to...wait until the grey squares turn red naturally. There's no need to treat or paint them. Just wait and they will morph into the desired redness.","To make the output, you have to...cover all the grey squares with red paint. No distinction between X or Y is necessary, red is applied equally everywhere.","To make the output, you have to...use the grey squares as reference to make red squares. The grey squares on the top are X, the grey squares on the right side are Y. Imagine a line that will intersect from X and Y squares. At that spot paint a black square red.",5
43,228f6490.json,"To make the output, you have to...Gather all the colored shapes and arrange them randomly in each square.","To make the output, you have to...Leave the squares empty and arrange the colored shapes around them.","To make the output, you have to...Place multiple colored shapes in each square until it is completely filled.","To make the output, you have to...Only fill in the corners of each square using the colored shapes.","To make the output, you have to...Take a colored shape to fill in the hole for each square. It will only take one shape per square.",5
44,22eb0ac0.json,"To make the output, you have to....flip the input vertically. If two blocks on the same vertical line are the same color, fill in the rest of that line with that color. Disregard the blocks on the same line that are different colors.","To make the output, you have to....copy the input. If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color. Don't do anything with the blocks across from each other that are different colors","To make the output, you have to....alternate the colors in each row. If two blocks across from each other are the same color, change the rest of the row to a different color. If the blocks across from each other are different colors, leave it as is.","To make the output, you have to....erase every line that has two blocks with different colors. If two blocks across from each other are the same color, do not change anything with that horizontal row.","To make the output, you have to....ignore the color of the blocks entirely and fill in the horizontal row with a random color.",2
45,234bbc79.json,"To make the output, you have to...turn the grey boxes into pink shades, disregarding the color of the blocks they are connected to. Keep the columns of black boxes in the same position. Misalign the shapes such that the grey squares do not match up.","To make the output, you have to...color the grey boxes a different shade from the blocks to which it is connected. Insert additional rows of black boxes. Adjust the left and bottom shapes such that the original grey squares are disconnected.","To make the output, you have to...leave the grey boxes as they are, without changing their color to match the blocks. Add more black and white boxes randomly. Turn the shapes around so that they do not connect with the former grey squares.","To make the output, you have to...make the grey boxes stand out by changing the color contrast with the blocks they are connected to. Overly increase the number of black boxes if needed. Disconnect the shapes so that the former grey boxes are not a part of them.","To make the output, you have to...make any grey boxes the same color as the blocks to which it is connected. Remove columns of black boxes. Align the middle and right shapes so that the former grey squares are connected.",5
46,23581191.json,"To make the output, you have to...shape both colored squares into circles and rotate them across the board.","To make the output, you have to...shrink both colored squares and scatter them randomly on the board.","To make the output, you have to...extend both colored squares left and right, and up and down across the board to form two lines. The square should be red where the lines intersect.","To make the output, you have to...move both colored squares to the corners of the board and form a diagonal line.","To make the output, you have to...flip both colored squares upside down and skew them as a zigzag pattern.",3
47,239be575.json,"To make the output, you have to...flip the entire color scheme of the square.","To make the output, you have to...fill the square that is five down and three across of the input with a new pattern.","To make the output, you have to...make the color of the square the same color as the square that is five down and three across of the input.","To make the output, you have to...rotate the square 90 degrees clockwise.","To make the output, you have to...change the color of the square that is two down and two across of the input.",3
48,23b5c85d.json,"To make the output, you have to...discard the colors in the small inner grid pattern.","To make the output, you have to...design your own color scheme for the small inner grid pattern.","To make the output, you have to...invert the colors in the small inner grid pattern.","To make the output, you have to...use the colors outside of the small inner grid pattern.","To make the output, you have to...copy the exact colors in the small inner grid pattern.",5
49,253bf280.json,"To make the output, you have to...use green lines to connect blue dots that are in the same line.","To make the output, you have to...use red circles to connect yellow squares that are in the same line.","To make the output, you have to...select brown stars to connect black curves that are in the same column.","To make the output, you have to...draw purple triangles to link pink hexagons that are in different rows.","To make the output, you have to...use white arrows to link grey cubes that are in the same diagonal.",1
50,25d487eb.json,"To make the output, you have to...grasp the dimmer shade and push it down the middle.","To make the output, you have to...swallow the larger color and hide it in the bottom.","To make the output, you have to...consume the brighter tone and release it from the rear.","To make the output, you have to...take the smaller color and shoot it out the top.","To make the output, you have to...melt the less vibrant hue and drain it through the side.",4
51,25d8a9c8.json,"To make the output, you have to...fill the row with grey if the row has the same colors in the input. color the row with black if the row contain different colors.","To make the output, you have to...paint the row with purple if the row displays identical colors. Change the row to yellow if the colors aren't matched.","To make the output, you have to...leave the row blank if the row has the same colors in the input. Use a blue marker to highlight the row if it has different colors.","To make the output, you have to...delete the row if the row comprises of same colors. Change the row color to white if the colors are divergent.","To make the output, you have to...stripe the row with pink if the colors are similar across the row. Blacken the row only if the colors are mismatched.",1
